id,especialidad,colegiatura,horario
412,Jewellery designer,CM-7139,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}]}"
413,Public librarian,CM-5090,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}]}"
414,Bonds trader,CM-9752,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}]}"
415,"Loss adjuster, chartered",CM-9337,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}]}"
416,Publishing copy,CM-3185,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}]}"
417,Water engineer,CM-2915,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}]}"
418,Materials engineer,CM-9242,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}]}"
419,Community arts worker,CM-6348,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}]}"
420,Financial controller,CM-2963,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}]}"
421,Research scientist (medical),CM-8685,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}]}"
422,"Surveyor, mining",CM-6687,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
423,Information officer,CM-7019,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}]}"
424,Automotive engineer,CM-5372,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}]}"
425,"Conservation officer, historic buildings",CM-4120,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}]}"
426,Forest/woodland manager,CM-7200,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}]}"
427,"Loss adjuster, chartered",CM-0563,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}]}"
428,Community pharmacist,CM-0201,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}]}"
429,Biomedical scientist,CM-9843,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}]}"
430,Furniture designer,CM-2908,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}]}"
431,Music therapist,CM-3046,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
432,"Therapist, drama",CM-0892,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
433,Geographical information systems officer,CM-0398,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}]}"
434,Scientific laboratory technician,CM-3432,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}]}"
435,Passenger transport manager,CM-6946,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}]}"
436,"Accountant, chartered",CM-3676,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
437,"Engineer, petroleum",CM-8240,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}]}"
438,"Therapist, speech and language",CM-6707,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}]}"
439,Firefighter,CM-4039,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}]}"
440,Chief Executive Officer,CM-6014,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}]}"
441,"Merchandiser, retail",CM-2878,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}]}"
442,Outdoor activities/education manager,CM-1809,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}]}"
443,Ranger/warden,CM-6103,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}]}"
444,Social researcher,CM-4808,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
445,Charity fundraiser,CM-5274,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}]}"
446,"Surveyor, land/geomatics",CM-1264,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}]}"
447,Neurosurgeon,CM-3768,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}]}"
448,"Accountant, chartered certified",CM-6038,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}]}"
449,Restaurant manager,CM-0281,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}]}"
450,Heritage manager,CM-2862,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
451,Press photographer,CM-2630,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}]}"
452,"Secretary, company",CM-9330,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
453,Legal executive,CM-5445,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}]}"
454,Chiropractor,CM-7026,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}]}"
455,Information systems manager,CM-1570,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
456,Research scientist (physical sciences),CM-5749,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
457,Counsellor,CM-0384,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}]}"
458,Chief Strategy Officer,CM-9381,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}]}"
459,Chief Technology Officer,CM-4758,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
460,Herbalist,CM-4297,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}]}"
461,"Lighting technician, broadcasting/film/video",CM-6971,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
